OBJECTNUMMER,ABSREL,Stemdistrict,Stemlocatie,Opgeroepenen,Geldig,Blanco,Ongeldig,Opkomstpercentage,Grootste_partij,Grootste_aantal,Grootste_percentage,Tweede_partij,Tweede_aantal,Tweede_percentage,Verschil_aantal,Verschil_percentage,GroenLinks,D66,PvdA,VVD,Partij_voor_de_Dieren,Forum_voor_Democratie,DENK,SP,PVV,CDA,ChristenUnie,50PLUS_Partij_vd_Ouderen,Code_Oranje,NIDA,Ouderenpartij_NH,_GroenLinks,_D66,_PvdA,_VVD,_Partij_voor_de_Dieren,_Forum_voor_Democratie,_DENK,_SP,_PVV,_CDA,_ChristenUnie,_50PLUS_Partij_vd_Ouderen,_Code_Oranje,_NIDA,_Ouderenpartij_NH,WKT_LNG_LAT,WKT_LAT_LNG,LNG,LAT
1,ABS,101,De Kernschool,2153,773,1,6,36.2,Forum voor Democratie,113,0,PvdA,97,0,16,0,93,27,97,29,44,113,95,76,72,33,31,20,8,12,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,839667","52,434218",,
2,REL,101,De Kernschool,2153,773,1,6,36.2,Forum voor Democratie,0,14.6,PvdA,0,12.5,16,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3.5,12.5,3.8,5.7,14.6,12.3,9.8,9.3,4.3,4,2.6,1,1.6,3,"4,839667","52,434218",,
3,ABS,102,Handboog Schutters Czaar Peter,2256,939,3,4,41.9,Forum voor Democratie,205,0,DENK,118,0,87,0,109,44,100,54,49,205,118,63,81,27,25,35,6,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,838457","52,429809",,
4,REL,102,Handboog Schutters Czaar Peter,2256,939,3,4,41.9,Forum voor Democratie,0,21.8,DENK,0,12.6,87,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,4.7,10.6,5.8,5.2,21.8,12.6,6.7,8.6,2.9,2.7,3.7,0.6,0.5,1.9,"4,838457","52,429809",,
5,ABS,103,Wijkgebouw De Poelenburcht,2498,919,1,6,37.1,DENK,381,0,PvdA,75,0,306,0,63,33,75,37,33,74,381,67,63,24,19,19,5,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,854884","52,435644",,
6,REL,103,Wijkgebouw De Poelenburcht,2498,919,1,6,37.1,DENK,0,41.5,PvdA,0,8.2,306,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,3.6,8.2,4,3.6,8.1,41.5,7.3,6.9,2.6,2.1,2.1,0.5,1.1,1.7,"4,854884","52,435644",,
7,ABS,104,Stembureau Oogheelkundig Medisch Centrum,0,118,1,0,0,GroenLinks,27,0,Forum voor Democratie,23,0,4,0,27,10,8,10,11,23,4,5,12,1,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,83115","52,442654",,
8,REL,104,Stembureau Oogheelkundig Medisch Centrum,0,118,1,0,0,GroenLinks,0,22.9,Forum voor Democratie,0,19.5,4,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9,8.5,6.8,8.5,9.3,19.5,3.4,4.2,10.2,0.8,2.5,0.8,0.8,0,1.7,"4,83115","52,442654",,
9,ABS,105,Zaans Natuur en Milieu Centrum,1699,607,0,8,36.2,DENK,187,0,PvdA,62,0,125,0,50,21,62,35,34,57,187,35,47,25,18,19,7,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,846632","52,440622",,
10,REL,105,Zaans Natuur en Milieu Centrum,1699,607,0,8,36.2,DENK,0,30.8,PvdA,0,10.2,125,20.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.2,3.5,10.2,5.8,5.6,9.4,30.8,5.8,7.7,4.1,3,3.1,1.2,0.3,1.3,"4,846632","52,440622",,
11,ABS,106,JerehSalem,1756,697,3,9,40.4,DENK,167,0,Forum voor Democratie,84,0,83,0,58,20,66,34,34,84,167,61,42,44,34,34,5,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,849498","52,443233",,
12,REL,106,JerehSalem,1756,697,3,9,40.4,DENK,0,24,Forum voor Democratie,0,12.1,83,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,2.9,9.5,4.9,4.9,12.1,24,8.8,6,6.3,4.9,4.9,0.7,0.6,1.4,"4,849498","52,443233",,
13,ABS,107,School De Windroos. INGANG PINASSTRAAT,1682,669,0,4,40,DENK,169,0,PvdA,82,0,87,0,59,27,82,38,25,69,169,47,56,32,26,20,3,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,844179","52,448798",,
14,REL,107,School De Windroos. INGANG PINASSTRAAT,1682,669,0,4,40,DENK,0,25.3,PvdA,0,12.3,87,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,4,12.3,5.7,3.7,10.3,25.3,7,8.4,4.8,3.9,3,0.4,0.4,1.9,"4,844179","52,448798",,
15,ABS,108,Evean Oostergouw. HOOFDINGANG,1812,957,5,7,53.5,Forum voor Democratie,178,0,VVD,108,0,70,0,79,77,99,108,40,178,35,63,73,70,45,39,15,2,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,836303","52,454047",,
16,REL,108,Evean Oostergouw. HOOFDINGANG,1812,957,5,7,53.5,Forum voor Democratie,0,18.6,VVD,0,11.3,70,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,8,10.3,11.3,4.2,18.6,3.7,6.6,7.6,7.3,4.7,4.1,1.6,0.2,3.6,"4,836303","52,454047",,
17,ABS,109,Evean De Meerpaal. INGANG TJOTTERLAAN,1587,880,5,7,56.2,VVD,126,0,Forum voor Democratie,118,0,8,0,89,76,97,126,45,118,68,50,65,55,39,30,3,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,838917","52,44615",,
18,REL,109,Evean De Meerpaal. INGANG TJOTTERLAAN,1587,880,5,7,56.2,VVD,0,14.3,Forum voor Democratie,0,13.4,8,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,8.6,11,14.3,5.1,13.4,7.7,5.7,7.4,6.3,4.4,3.4,0.3,0.1,2,"4,838917","52,44615",,
19,ABS,110,Evean Het Erasmushuis,2059,935,3,6,45.8,PvdA,125,0,Forum voor Democratie,114,0,11,0,86,59,125,93,57,114,82,80,69,51,37,40,11,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,841301","52,440023",,
20,REL,110,Evean Het Erasmushuis,2059,935,3,6,45.8,PvdA,0,13.4,Forum voor Democratie,0,12.2,11,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,6.3,13.4,9.9,6.1,12.2,8.8,8.6,7.4,5.5,4,4.3,1.2,0.3,3,"4,841301","52,440023",,
21,ABS,111,De Paaskerk,1310,611,3,4,47.2,Forum voor Democratie,146,0,PVV,73,0,73,0,69,40,69,38,53,146,16,58,73,5,16,12,4,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,83633","52,436512",,
22,REL,111,De Paaskerk,1310,611,3,4,47.2,Forum voor Democratie,0,23.9,PVV,0,11.9,73,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,6.5,11.3,6.2,8.7,23.9,2.6,9.5,11.9,0.8,2.6,2,0.7,0.5,1.5,"4,83633","52,436512",,
23,ABS,112,Dependance CBS Tamarinde,1239,644,6,1,52.5,Forum voor Democratie,133,0,GroenLinks,117,0,16,0,117,43,56,51,43,133,13,54,49,23,11,26,13,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,833283","52,435573",,
24,REL,112,Dependance CBS Tamarinde,1239,644,6,1,52.5,Forum voor Democratie,0,20.7,GroenLinks,0,18.2,16,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.2,6.7,8.7,7.9,6.7,20.7,2,8.4,7.6,3.6,1.7,4,2,0.3,1.6,"4,833283","52,435573",,
25,ABS,113,Zorgcentrum Het Mennistenerf,1787,958,5,1,53.9,Forum voor Democratie,174,0,GroenLinks - PVV,123,0,51,0,123,56,103,74,60,174,16,82,123,40,26,45,13,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,832391","52,441078",,
26,REL,113,Zorgcentrum Het Mennistenerf,1787,958,5,1,53.9,Forum voor Democratie,0,18.2,GroenLinks - PVV,0,12.8,51,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8,5.8,10.8,7.7,6.3,18.2,1.7,8.6,12.8,4.2,2.7,4.7,1.4,0.4,2,"4,832391","52,441078",,
27,ABS,114,Buurthuis De Kolk,1663,750,2,2,45.3,Forum voor Democratie,133,0,PvdA,100,0,33,0,83,36,100,90,36,133,36,45,58,28,20,47,10,5,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,825044","52,444018",,
28,REL,114,Buurthuis De Kolk,1663,750,2,2,45.3,Forum voor Democratie,0,17.7,PvdA,0,13.3,33,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,4.8,13.3,12,4.8,17.7,4.8,6,7.7,3.7,2.7,6.3,1.3,0.7,3.1,"4,825044","52,444018",,
29,ABS,115,Hervormd Centrum Pennemes. INGANG BLOEMGRACHT,1518,653,2,3,43.3,Forum voor Democratie,99,0,PvdA,81,0,18,0,66,42,81,51,32,99,30,53,57,53,23,35,7,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,830525","52,44328",,
30,REL,115,Hervormd Centrum Pennemes. INGANG BLOEMGRACHT,1518,653,2,3,43.3,Forum voor Democratie,0,15.2,PvdA,0,12.4,18,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,6.4,12.4,7.8,4.9,15.2,4.6,8.1,8.7,8.1,3.5,5.4,1.1,0.2,3.5,"4,830525","52,44328",,
31,ABS,116,Sporthal De Struijck. INGANG OOSTZIJDE,1645,799,0,2,48.7,Forum voor Democratie,149,0,PvdA,96,0,53,0,84,46,96,56,58,149,29,76,88,32,18,22,18,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,822935","52,447953",,
32,REL,116,Sporthal De Struijck. INGANG OOSTZIJDE,1645,799,0,2,48.7,Forum voor Democratie,0,18.6,PvdA,0,12,53,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5,5.8,12,7,7.3,18.6,3.6,9.5,11,4,2.3,2.8,2.3,1,2.4,"4,822935","52,447953",,
33,ABS,117,Noorderkerk,1965,646,0,5,33.1,Forum voor Democratie,111,0,GroenLinks,78,0,33,0,78,23,57,49,27,111,46,52,77,41,34,19,14,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,826148","52,449757",,
34,REL,117,Noorderkerk,1965,646,0,5,33.1,Forum voor Democratie,0,17.2,GroenLinks,0,12.1,33,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1,3.6,8.8,7.6,4.2,17.2,7.1,8,11.9,6.3,5.3,2.9,2.2,0.9,1.9,"4,826148","52,449757",,
35,ABS,118,obs Kogerveld,1049,376,0,0,35.8,Forum voor Democratie,87,0,PvdA - SP,42,0,45,0,41,25,42,21,20,87,35,42,26,8,16,7,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,831381","52,45823",,
36,REL,118,obs Kogerveld,1049,376,0,0,35.8,Forum voor Democratie,0,23.1,PvdA - SP,0,11.2,45,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.9,6.6,11.2,5.6,5.3,23.1,9.3,11.2,6.9,2.1,4.3,1.9,1.3,0,0.3,"4,831381","52,45823",,
37,ABS,119,Jozefparochie,1291,708,3,2,55.2,Forum voor Democratie,146,0,SP,87,0,59,0,67,30,78,52,38,146,56,87,65,31,23,14,10,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,819026","52,456823",,
38,REL,119,Jozefparochie,1291,708,3,2,55.2,Forum voor Democratie,0,20.6,SP,0,12.3,59,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,4.2,11,7.3,5.4,20.6,7.9,12.3,9.2,4.4,3.2,2,1.4,0.4,1.1,"4,819026","52,456823",,
39,ABS,120,Zorgcentrum Nieuw Groenland,2039,1053,3,3,51.9,Forum voor Democratie,209,0,GroenLinks,130,0,79,0,130,50,123,107,71,209,7,96,82,49,40,43,12,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,834451","52,470458",,
40,REL,120,Zorgcentrum Nieuw Groenland,2039,1053,3,3,51.9,Forum voor Democratie,0,19.8,GroenLinks,0,12.3,79,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,4.7,11.7,10.2,6.7,19.8,0.7,9.1,7.8,4.7,3.8,4.1,1.1,0.1,3.1,"4,834451","52,470458",,
41,ABS,121,Sporthal de Tref,1563,1027,3,3,66.1,Forum voor Democratie,229,0,VVD,112,0,117,0,76,70,109,112,60,229,10,82,107,39,44,52,11,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,8366","52,468015",,
42,REL,121,Sporthal de Tref,1563,1027,3,3,66.1,Forum voor Democratie,0,22.3,VVD,0,10.9,117,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,6.8,10.6,10.9,5.8,22.3,1,8,10.4,3.8,4.3,5.1,1.1,0.2,2.3,"4,8366","52,468015",,
43,ABS,122,School De Jagersplas,1805,916,1,1,50.9,Forum voor Democratie,222,0,SP,96,0,126,0,86,61,84,77,49,222,10,96,74,35,29,38,25,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,839512","52,469376",,
44,REL,122,School De Jagersplas,1805,916,1,1,50.9,Forum voor Democratie,0,24.2,SP,0,10.5,126,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,6.7,9.2,8.4,5.3,24.2,1.1,10.5,8.1,3.8,3.2,4.1,2.7,0.2,3.1,"4,839512","52,469376",,
45,ABS,123,Speeltuinver. Het Havenkwartier,1743,744,2,1,42.9,Forum voor Democratie,134,0,GroenLinks,100,0,34,0,100,55,74,93,41,134,5,58,91,28,13,31,9,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,832005","52,428386",,
46,REL,123,Speeltuinver. Het Havenkwartier,1743,744,2,1,42.9,Forum voor Democratie,0,18,GroenLinks,0,13.4,34,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4,7.4,9.9,12.5,5.5,18,0.7,7.8,12.2,3.8,1.7,4.2,1.2,0.1,1.5,"4,832005","52,428386",,
47,ABS,124,School De Dijk-Oost,1426,931,2,2,65.6,GroenLinks,166,0,Forum voor Democratie,134,0,32,0,166,92,111,99,58,134,28,61,77,23,21,28,11,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,820324","52,435898",,
48,REL,124,School De Dijk-Oost,1426,931,2,2,65.6,GroenLinks,0,17.8,Forum voor Democratie,0,14.4,32,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8,9.9,11.9,10.6,6.2,14.4,3,6.6,8.3,2.5,2.3,3,1.2,0.3,2,"4,820324","52,435898",,
49,ABS,125,Zorgcentrum Saenden,1438,992,0,5,69.3,GroenLinks,168,0,Forum voor Democratie,141,0,27,0,168,83,112,72,72,141,24,82,82,55,41,38,9,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,818676","52,44281",,
50,REL,125,Zorgcentrum Saenden,1438,992,0,5,69.3,GroenLinks,0,16.9,Forum voor Democratie,0,14.2,27,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,8.4,11.3,7.3,7.3,14.2,2.4,8.3,8.3,5.5,4.1,3.8,0.9,0.1,1.2,"4,818676","52,44281",,
51,ABS,126,Het Tolhuys,1417,623,2,1,44.2,GroenLinks,108,0,Forum voor Democratie,103,0,5,0,108,48,68,40,58,103,11,59,54,13,17,24,15,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,819551","52,447991",,
52,REL,126,Het Tolhuys,1417,623,2,1,44.2,GroenLinks,0,17.3,Forum voor Democratie,0,16.5,5,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,7.7,10.9,6.4,9.3,16.5,1.8,9.5,8.7,2.1,2.7,3.9,2.4,0.2,0.6,"4,819551","52,447991",,
53,ABS,127,Obs Hannie Schaft,2189,1021,6,2,47,GroenLinks,210,0,Forum voor Democratie,120,0,90,0,210,109,118,116,79,120,8,69,57,41,28,17,21,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,818224","52,449405",,
54,REL,127,Obs Hannie Schaft,2189,1021,6,2,47,GroenLinks,0,20.6,Forum voor Democratie,0,11.8,90,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6,10.7,11.6,11.4,7.7,11.8,0.8,6.8,5.6,4,2.7,1.7,2.1,0.6,2.2,"4,818224","52,449405",,
55,ABS,128,School De Dijk-West,1708,786,0,1,46.1,GroenLinks,159,0,Forum voor Democratie,134,0,25,0,159,50,63,61,58,134,13,78,62,22,15,30,17,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,809002","52,433542",,
56,REL,128,School De Dijk-West,1708,786,0,1,46.1,GroenLinks,0,20.2,Forum voor Democratie,0,17,25,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2,6.4,8,7.8,7.4,17,1.7,9.9,7.9,2.8,1.9,3.8,2.2,0.6,2.4,"4,809002","52,433542",,
57,ABS,129,Buurthuis De Zeskanter,1918,807,4,0,42.3,Forum voor Democratie,157,0,GroenLinks,105,0,52,0,105,46,85,95,35,157,16,68,50,31,47,40,16,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,806408","52,447433",,
58,REL,129,Buurthuis De Zeskanter,1918,807,4,0,42.3,Forum voor Democratie,0,19.5,GroenLinks,0,13,52,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5.7,10.5,11.8,4.3,19.5,2,8.4,6.2,3.8,5.8,5,2,0.1,1.9,"4,806408","52,447433",,
59,ABS,130,obs Het Eiland,1404,919,2,0,65.6,Forum voor Democratie,188,0,GroenLinks,148,0,40,0,148,71,76,101,54,188,16,70,65,31,26,41,17,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,800796","52,448062",,
60,REL,130,obs Het Eiland,1404,919,2,0,65.6,Forum voor Democratie,0,20.5,GroenLinks,0,16.1,40,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1,7.7,8.3,11,5.9,20.5,1.7,7.6,7.1,3.4,2.8,4.5,1.8,0.4,1.2,"4,800796","52,448062",,
61,ABS,131,Evean Westerwatering. HOOFDINGANG,1752,1064,3,2,61,Forum voor Democratie,203,0,GroenLinks,126,0,77,0,126,70,122,125,51,203,17,78,90,58,39,48,18,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,801799","52,448957",,
62,REL,131,Evean Westerwatering. HOOFDINGANG,1752,1064,3,2,61,Forum voor Democratie,0,19.1,GroenLinks,0,11.8,77,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,6.6,11.5,11.7,4.8,19.1,1.6,7.3,8.5,5.5,3.7,4.5,1.7,0.1,1.7,"4,801799","52,448957",,
63,ABS,132,Kazerne Brandweer Houtveldweg,1323,578,3,1,44,Forum voor Democratie,132,0,GroenLinks,75,0,57,0,75,49,56,72,35,132,21,33,36,28,13,9,8,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,814165","52,435697",,
64,REL,132,Kazerne Brandweer Houtveldweg,1323,578,3,1,44,Forum voor Democratie,0,22.8,GroenLinks,0,13,57,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8.5,9.7,12.5,6.1,22.8,3.6,5.7,6.2,4.8,2.2,1.6,1.4,0.5,1.4,"4,814165","52,435697",,
65,ABS,133,Stadhuis van Zaanstad,1355,1192,2,6,88.6,GroenLinks,269,0,PvdA,144,0,125,0,269,137,144,140,102,142,30,65,35,33,29,29,17,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,814615","52,438432",,
66,REL,133,Stadhuis van Zaanstad,1355,1192,2,6,88.6,GroenLinks,0,22.6,PvdA,0,12.1,125,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6,11.5,12.1,11.7,8.6,11.9,2.5,5.5,2.9,2.8,2.4,2.4,1.4,1.1,0.6,"4,814615","52,438432",,
67,ABS,134,Best Western Zaan Inn,1829,796,2,2,43.7,Forum voor Democratie,148,0,GroenLinks,132,0,16,0,132,90,53,117,45,148,29,43,46,26,19,19,20,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,811245","52,439683",,
