OBJECTNUMMER,ABSREL,Stemdistrict,Stemlocatie,Opgeroepenen,Geldig,Blanco,Ongeldig,Opkomstpercentage,Grootste_partij,Grootste_aantal,Grootste_percentage,Tweede_partij,Tweede_aantal,Tweede_percentage,Verschil_aantal,Verschil_percentage,GroenLinks,D66,PvdA,VVD,Partij_voor_de_Dieren,Forum_voor_Democratie,DENK,SP,PVV,CDA,ChristenUnie,50PLUS_Partij_vd_Ouderen,Code_Oranje,NIDA,Ouderenpartij_NH,_GroenLinks,_D66,_PvdA,_VVD,_Partij_voor_de_Dieren,_Forum_voor_Democratie,_DENK,_SP,_PVV,_CDA,_ChristenUnie,_50PLUS_Partij_vd_Ouderen,_Code_Oranje,_NIDA,_Ouderenpartij_NH,WKT_LNG_LAT,WKT_LAT_LNG,LNG,LAT
68,REL,134,Best Western Zaan Inn,1829,796,2,2,43.7,Forum voor Democratie,0,18.6,GroenLinks,0,16.6,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6,11.3,6.7,14.7,5.7,18.6,3.6,5.4,5.8,3.3,2.4,2.4,2.5,0.6,0.5,"4,811245","52,439683",,
69,ABS,201,Kerk van de Nazarener,1809,1334,3,3,74.1,Forum voor Democratie,222,0,GroenLinks,192,0,30,0,192,101,137,140,91,222,19,119,94,43,71,54,31,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,811107","52,456012",,
70,REL,201,Kerk van de Nazarener,1809,1334,3,3,74.1,Forum voor Democratie,0,16.6,GroenLinks,0,14.4,30,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,7.6,10.3,10.5,6.8,16.6,1.4,8.9,7,3.2,5.3,4,2.3,0.1,1.3,"4,811107","52,456012",,
71,ABS,202,Parkzicht,1691,855,1,3,50.8,Forum voor Democratie,155,0,GroenLinks,107,0,48,0,107,51,96,81,64,155,31,67,73,33,25,28,17,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,811384","52,468677",,
72,REL,202,Parkzicht,1691,855,1,3,50.8,Forum voor Democratie,0,18.1,GroenLinks,0,12.5,48,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,6,11.2,9.5,7.5,18.1,3.6,7.8,8.5,3.9,2.9,3.3,2,0.6,2.6,"4,811384","52,468677",,
73,ABS,205,Dr. M.J. Prinsenstichting,1403,896,2,1,64.1,Forum voor Democratie,132,0,PvdA,123,0,9,0,114,85,123,104,68,132,7,56,45,54,39,38,16,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,797737","52,460216",,
74,REL,205,Dr. M.J. Prinsenstichting,1403,896,2,1,64.1,Forum voor Democratie,0,14.7,PvdA,0,13.7,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,9.5,13.7,11.6,7.6,14.7,0.8,6.3,5,6,4.4,4.2,1.8,0.1,1.6,"4,797737","52,460216",,
75,ABS,206,School De Golfbreker,1358,814,1,3,60.2,Forum voor Democratie,140,0,PvdA,120,0,20,0,107,73,120,78,41,140,2,54,54,47,31,36,15,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,79946","52,458957",,
76,REL,206,School De Golfbreker,1358,814,1,3,60.2,Forum voor Democratie,0,17.2,PvdA,0,14.7,20,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,9,14.7,9.6,5,17.2,0.2,6.6,6.6,5.8,3.8,4.4,1.8,0.1,1.8,"4,79946","52,458957",,
77,ABS,301,Culturele werkplaats Zaandijk,1112,606,5,3,55.2,Forum voor Democratie,101,0,GroenLinks,89,0,12,0,89,46,78,82,44,101,7,42,37,23,17,17,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,812856","52,474265",,
78,REL,301,Culturele werkplaats Zaandijk,1112,606,5,3,55.2,Forum voor Democratie,0,16.7,GroenLinks,0,14.7,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7,7.6,12.9,13.5,7.3,16.7,1.2,6.9,6.1,3.8,2.8,2.8,1.5,0,2.3,"4,812856","52,474265",,
79,ABS,302,Wijksteunpunt De Boed. INGANG W. DREESLAAN,1397,724,0,6,52.3,Forum voor Democratie,126,0,GroenLinks,101,0,25,0,101,52,75,90,31,126,13,59,82,27,17,26,10,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,811418","52,475067",,
80,REL,302,Wijksteunpunt De Boed. INGANG W. DREESLAAN,1397,724,0,6,52.3,Forum voor Democratie,0,17.4,GroenLinks,0,14,25,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7.2,10.4,12.4,4.3,17.4,1.8,8.1,11.3,3.7,2.3,3.6,1.4,0.6,1.5,"4,811418","52,475067",,
81,ABS,303,School het Schatrijk,1404,750,2,3,53.8,Forum voor Democratie,134,0,GroenLinks,87,0,47,0,87,41,80,70,35,134,18,71,66,27,49,35,13,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,797439","52,474837",,
82,REL,303,School het Schatrijk,1404,750,2,3,53.8,Forum voor Democratie,0,17.9,GroenLinks,0,11.6,47,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,5.5,10.7,9.3,4.7,17.9,2.4,9.5,8.8,3.6,6.5,4.7,1.7,1.1,2.1,"4,797439","52,474837",,
83,ABS,304,Evean Guisveld,2962,1668,3,5,56.6,Forum voor Democratie,315,0,GroenLinks,225,0,90,0,225,142,206,209,87,315,25,111,107,85,34,62,35,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,801558","52,477221",,
84,REL,304,Evean Guisveld,2962,1668,3,5,56.6,Forum voor Democratie,0,18.9,GroenLinks,0,13.5,90,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,8.5,12.4,12.5,5.2,18.9,1.5,6.7,6.4,5.1,2,3.7,2.1,0.1,1.4,"4,801558","52,477221",,
85,ABS,401,Evean Acht Staten,1938,1064,4,5,55.4,Forum voor Democratie,203,0,GroenLinks,131,0,72,0,131,59,98,104,90,203,7,97,113,34,34,38,26,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,802351","52,487389",,
86,REL,401,Evean Acht Staten,1938,1064,4,5,55.4,Forum voor Democratie,0,19.1,GroenLinks,0,12.3,72,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3,5.5,9.2,9.8,8.5,19.1,0.7,9.1,10.6,3.2,3.2,3.6,2.4,0.2,2.6,"4,802351","52,487389",,
87,ABS,402,Buurtcentrum De Lorzie,1869,1181,9,10,64.2,Forum voor Democratie,241,0,GroenLinks,173,0,68,0,173,62,122,96,68,241,15,109,111,48,35,42,24,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,78683","52,494133",,
88,REL,402,Buurtcentrum De Lorzie,1869,1181,9,10,64.2,Forum voor Democratie,0,20.4,GroenLinks,0,14.6,68,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,5.2,10.3,8.1,5.8,20.4,1.3,9.2,9.4,4.1,3,3.6,2,0.6,2.4,"4,78683","52,494133",,
89,ABS,403,Pinkstergemeente Ruach,1566,672,4,9,43.7,Forum voor Democratie,113,0,PVV,84,0,29,0,68,32,66,53,35,113,9,63,84,39,40,36,13,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,78792","52,496305",,
90,REL,403,Pinkstergemeente Ruach,1566,672,4,9,43.7,Forum voor Democratie,0,16.8,PVV,0,12.5,29,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,4.8,9.8,7.9,5.2,16.8,1.3,9.4,12.5,5.8,6,5.4,1.9,0.1,3,"4,78792","52,496305",,
91,ABS,404,De Bloesem,1321,542,6,0,41.5,Forum voor Democratie,96,0,Groenlinks - SP,61,0,35,0,61,29,55,36,29,96,3,61,59,47,12,23,4,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,788465","52,4985",,
92,REL,404,De Bloesem,1321,542,6,0,41.5,Forum voor Democratie,0,17.7,Groenlinks - SP,0,11.3,35,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,5.4,10.1,6.6,5.4,17.7,0.6,11.3,10.9,8.7,2.2,4.2,0.7,0.2,4.8,"4,788465","52,4985",,
93,ABS,405,obs De Pionier,1982,612,0,3,31,Forum voor Democratie,130,0,PvdA,78,0,52,0,54,25,78,59,24,130,25,53,58,39,18,21,12,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,787384","52,495646",,
94,REL,405,obs De Pionier,1982,612,0,3,31,Forum voor Democratie,0,21.2,PvdA,0,12.7,52,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8,4.1,12.7,9.6,3.9,21.2,4.1,8.7,9.5,6.4,2.9,3.4,2,0.3,2.3,"4,787384","52,495646",,
95,ABS,406,Dorpshuis `De Noorddam`,501,293,2,1,59.1,VVD,52,0,Forum voor Democratie,49,0,3,0,25,18,18,52,25,49,2,29,35,10,7,10,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,786344","52,516932",,
96,REL,406,Dorpshuis `De Noorddam`,501,293,2,1,59.1,VVD,0,17.7,Forum voor Democratie,0,16.7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,6.1,6.1,17.7,8.5,16.7,0.7,9.9,11.9,3.4,2.4,3.4,2.4,0,2,"4,786344","52,516932",,
97,ABS,501,Sint Petruskerk. INGANG KERK,1691,1160,3,5,69.1,Forum voor Democratie,174,0,GroenLinks,165,0,9,0,165,81,121,138,85,174,6,104,82,74,25,44,26,2,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,766475","52,497696",,
98,REL,501,Sint Petruskerk. INGANG KERK,1691,1160,3,5,69.1,Forum voor Democratie,0,15,GroenLinks,0,14.2,9,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2,7,10.4,11.9,7.3,15,0.5,9,7.1,6.4,2.2,3.8,2.2,0.2,2.8,"4,766475","52,497696",,
99,ABS,502,Dependance Hoeksteen,2278,1481,0,2,65.1,Forum voor Democratie,275,0,VVD,270,0,5,0,186,145,124,270,69,275,21,75,87,89,43,42,30,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,768042","52,505729",,
100,REL,502,Dependance Hoeksteen,2278,1481,0,2,65.1,Forum voor Democratie,0,18.6,VVD,0,18.2,5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,9.8,8.4,18.2,4.7,18.6,1.4,5.1,5.9,6,2.9,2.8,2,0.1,1.6,"4,768042","52,505729",,
101,ABS,503,School De Hoeksteen. INGANG SNUIVERSTRAAT,1579,906,0,3,57.6,Forum voor Democratie,150,0,GroenLinks,112,0,38,0,112,56,105,111,42,150,7,81,85,49,30,36,20,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,757106","52,50001",,
102,REL,503,School De Hoeksteen. INGANG SNUIVERSTRAAT,1579,906,0,3,57.6,Forum voor Democratie,0,16.6,GroenLinks,0,12.4,38,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4,6.2,11.6,12.3,4.6,16.6,0.8,8.9,9.4,5.4,3.3,4,2.2,0.3,2.1,"4,757106","52,50001",,
103,ABS,504,Durghorstplantsoen,1985,719,1,1,36.3,Forum voor Democratie,131,0,GroenLinks,79,0,52,0,79,37,69,62,43,131,6,76,76,40,17,31,13,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,768062","52,501092",,
104,REL,504,Durghorstplantsoen,1985,719,1,1,36.3,Forum voor Democratie,0,18.2,GroenLinks,0,11,52,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5.1,9.6,8.6,6,18.2,0.8,10.6,10.6,5.6,2.4,4.3,1.8,0,5.4,"4,768062","52,501092",,
105,ABS,505,School De Evenaar. ZIJINGANG,1371,1116,1,5,81.8,Forum voor Democratie,199,0,VVD,153,0,46,0,130,72,133,153,43,199,10,77,94,86,40,35,21,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,750888","52,501298",,
106,REL,505,School De Evenaar. ZIJINGANG,1371,1116,1,5,81.8,Forum voor Democratie,0,17.8,VVD,0,13.7,46,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,6.5,11.9,13.7,3.9,17.8,0.9,6.9,8.4,7.7,3.6,3.1,1.9,0.3,1.8,"4,750888","52,501298",,
107,ABS,506,Odd Fellowhuis,1311,708,1,3,54.3,Forum voor Democratie,117,0,VVD,103,0,14,0,92,40,74,103,41,117,5,59,50,52,26,28,5,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,757802","52,509082",,
108,REL,506,Odd Fellowhuis,1311,708,1,3,54.3,Forum voor Democratie,0,16.5,VVD,0,14.5,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5.6,10.5,14.5,5.8,16.5,0.7,8.3,7.1,7.3,3.7,4,0.7,0.3,2,"4,757802","52,509082",,
109,ABS,507,Evean Rosariumhorst,1745,815,4,5,47.2,Forum voor Democratie,156,0,PVV,92,0,64,0,84,51,80,57,36,156,21,86,92,50,34,30,12,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,762153","52,505519",,
110,REL,507,Evean Rosariumhorst,1745,815,4,5,47.2,Forum voor Democratie,0,19.1,PVV,0,11.3,64,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3,6.3,9.8,7,4.4,19.1,2.6,10.6,11.3,6.1,4.2,3.7,1.5,0.1,3.1,"4,762153","52,505519",,
111,ABS,508,Buurthuis De Pelikaan,1325,648,0,0,48.9,Forum voor Democratie,131,0,PVV,60,0,71,0,56,51,50,55,34,131,29,47,60,49,18,37,6,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,758465","52,5039",,
112,REL,508,Buurthuis De Pelikaan,1325,648,0,0,48.9,Forum voor Democratie,0,20.2,PVV,0,9.3,71,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,7.9,7.7,8.5,5.2,20.2,4.5,7.3,9.3,7.6,2.8,5.7,0.9,0.2,3.7,"4,758465","52,5039",,
113,ABS,601,Kantine vv Assendelft,1642,799,1,1,48.8,Forum voor Democratie,179,0,VVD,130,0,49,0,88,50,58,130,33,179,0,50,75,46,23,30,19,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,735946","52,458859",,
114,REL,601,Kantine vv Assendelft,1642,799,1,1,48.8,Forum voor Democratie,0,22.4,VVD,0,16.3,49,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6.3,7.3,16.3,4.1,22.4,0,6.3,9.4,5.8,2.9,3.8,2.4,0.4,1.9,"4,735946","52,458859",,
115,ABS,602,Gebouw Brandweer,1806,1179,1,3,65.5,Forum voor Democratie,264,0,VVD,154,0,110,0,108,68,104,154,68,264,7,84,118,91,24,44,20,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,741186","52,466797",,
116,REL,602,Gebouw Brandweer,1806,1179,1,3,65.5,Forum voor Democratie,0,22.4,VVD,0,13.1,110,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,5.8,8.8,13.1,5.8,22.4,0.6,7.1,10,7.7,2,3.7,1.7,0.2,2,"4,741186","52,466797",,
117,ABS,603,Tennisvereniging Overdan,1788,1002,4,2,56.4,Forum voor Democratie,204,0,VVD,156,0,48,0,115,82,76,156,40,204,2,59,62,83,39,35,27,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,748451","52,474197",,
118,REL,603,Tennisvereniging Overdan,1788,1002,4,2,56.4,Forum voor Democratie,0,20.4,VVD,0,15.6,48,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,8.2,7.6,15.6,4,20.4,0.2,5.9,6.2,8.3,3.9,3.5,2.7,0,2.2,"4,748451","52,474197",,
119,ABS,604,Evean Festina Lente,1174,672,4,3,57.8,Forum voor Democratie,130,0,PvdA,89,0,41,0,56,33,89,68,25,130,2,54,53,77,25,33,6,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,745443","52,466496",,
120,REL,604,Evean Festina Lente,1174,672,4,3,57.8,Forum voor Democratie,0,19.3,PvdA,0,13.2,41,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,4.9,13.2,10.1,3.7,19.3,0.3,8,7.9,11.5,3.7,4.9,0.9,0,3.1,"4,745443","52,466496",,
121,ABS,605,Gymzaal De Springplank,1122,664,1,1,59.4,Forum voor Democratie,150,0,GroenLinks,87,0,63,0,87,38,57,80,33,150,2,61,52,43,13,25,11,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,759191","52,493209",,
122,REL,605,Gymzaal De Springplank,1122,664,1,1,59.4,Forum voor Democratie,0,22.6,GroenLinks,0,13.1,63,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,5.7,8.6,12,5,22.6,0.3,9.2,7.8,6.5,2,3.8,1.7,0.2,1.7,"4,759191","52,493209",,
123,ABS,606,Ayundo,1411,1022,1,2,72.6,Forum voor Democratie,213,0,VVD,173,0,40,0,86,91,92,173,48,213,46,46,97,51,14,35,19,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,760604","52,483869",,
124,REL,606,Ayundo,1411,1022,1,2,72.6,Forum voor Democratie,0,20.8,VVD,0,16.9,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,8.9,9,16.9,4.7,20.8,4.5,4.5,9.5,5,1.4,3.4,1.9,0.2,0.9,"4,760604","52,483869",,
125,ABS,607,De Delta,3108,990,2,0,31.9,Forum voor Democratie,202,0,VVD,176,0,26,0,102,85,96,176,31,202,46,45,89,32,34,17,23,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,749154","52,49595",,
126,REL,607,De Delta,3108,990,2,0,31.9,Forum voor Democratie,0,20.4,VVD,0,17.8,26,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3,8.6,9.7,17.8,3.1,20.4,4.6,4.5,9,3.2,3.4,1.7,2.3,0.3,0.9,"4,749154","52,49595",,
127,ABS,608,Jongerenruimte BAAZ De Kaaik,3667,2137,5,5,58.5,Forum voor Democratie,401,0,VVD,352,0,49,0,242,201,173,352,91,401,138,103,169,96,46,46,44,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,750913","52,488266",,
128,REL,608,Jongerenruimte BAAZ De Kaaik,3667,2137,5,5,58.5,Forum voor Democratie,0,18.8,VVD,0,16.5,49,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,9.4,8.1,16.5,4.3,18.8,6.5,4.8,7.9,4.5,2.2,2.2,2.1,0.8,0.8,"4,750913","52,488266",,
129,ABS,609,Octant,1238,384,1,1,31.2,Forum voor Democratie,90,0,VVD,62,0,28,0,46,22,30,62,20,89,18,29,29,14,6,9,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,759978","52,484396",,
130,REL,609,Octant,1238,384,1,1,31.2,Forum voor Democratie,0,23.2,VVD,0,16.1,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5.7,7.8,16.1,5.2,23.2,4.7,7.6,7.6,3.6,1.6,2.3,1.6,0,1,"4,759978","52,484396",,
131,ABS,701,Dorpshuis De Kwaker,1768,895,0,1,50.7,Forum voor Democratie,177,0,VVD,143,0,34,0,97,51,62,143,64,177,1,55,74,67,53,24,16,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,776205","52,448891",,
132,REL,701,Dorpshuis De Kwaker,1768,895,0,1,50.7,Forum voor Democratie,0,19.8,VVD,0,16,34,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,5.7,6.9,16,7.2,19.8,0.1,6.1,8.3,7.5,5.9,2.7,1.8,0.3,0.9,"4,776205","52,448891",,
133,ABS,702,Wijksteunpunt Lambert Melisz,1013,566,5,3,56.7,Forum voor Democratie - VVD,102,0,VVD - Forum voor Democratie,102,0,0,0,57,34,71,102,33,102,1,36,38,38,19,15,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,76976","52,463848",,
134,REL,702,Wijksteunpunt Lambert Melisz,1013,566,5,3,56.7,Forum voor Democratie - VVD,0,18,VVD - Forum voor Democratie,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,6,12.5,18,5.8,18,0.2,6.4,6.7,6.7,3.4,2.7,1.6,0,1.9,"4,76976","52,463848",,
135,ABS,703,De Grote Kerk,1028,837,4,1,81.9,VVD,133,0,Forum voor Democratie,130,0,3,0,110,67,102,133,55,130,1,52,64,46,30,17,12,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,772024","52,463986",,
136,REL,703,De Grote Kerk,1028,837,4,1,81.9,VVD,0,15.9,Forum voor Democratie,0,15.5,3,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1,8,12.2,15.9,6.6,15.5,0.1,6.2,7.6,5.5,3.6,2,1.4,0.1,2,"4,772024","52,463986",,
137,ABS,203+204,Wijkcentrum De Vuister,2422,1616,2,1,66.8,Forum voor Democratie,270,0,PvdA,221,0,49,0,204,127,221,154,102,270,17,122,105,75,76,85,21,6,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,799272","52,457581",,
138,REL,203+204,Wijkcentrum De Vuister,2422,1616,2,1,66.8,Forum voor Democratie,0,16.7,PvdA,0,13.7,49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,7.9,13.7,9.5,6.3,16.7,1.1,7.5,6.5,4.6,4.7,5.3,1.3,0.4,1.9,"4,799272","52,457581",,
